Alabama,Senator,Richard Shelby,R,@SenShelby,@senatorshelby,x
Alabama,Senator,Doug Jones,D,@DougJones,@dougjonesbama,x
Alabama 1st District,Representative,"Byrne, Bradley",R,@RepByrne,@repbyrne,x
Alabama 2nd District,U.S. Representative,"Roby, Martha",R,@RepMarthaRoby,@martharoby,x
Alabama 3rd District,U.S. Representative,"Rogers, Mike",R,@RepMikeRogersAL,@repmikerogersal,x
Alabama 4th District,U.S. Representative,"Aderholt, Robert",R,@Robert_Aderholt,@robert_aderholt,x
Alabama 5th District,U.S. Representative,"Brooks, Mo",R,@RepMoBrooks,,x
Alabama 6th District,U.S. Representative,"Palmer, Gary",R,@USRepGaryPalmer,@repgarypalmer,x
Alabama 7th District,U.S. Representative,"Sewell, Terri A.",D,@RepTerriSewell,@repterriasewell,x
Alaska,U.S. Senator,"Sullivan, Dan",R,@SenDanSullivan,@sen_dansullivan,x
Alaska,U.S. Senator,"Murkowski, Lisa",R,@lisamurkowski,@senlisamurkowski,x
Alaska At-Large,U.S. Representative,"Young, Don",R,@RepDonYoung,@repdonyoung,x
American Samoa At-Large,U.S. Representative,"Radewagen, Amata",R,@RepAmata,@repamata,x
Arizona,U.S. Senator,"McSally, Martha",R,@SenMcSallyAZ,@senmcsallyaz,x
Arizona,U.S. Senator,"Sinema, Kyrsten",D,@SenatorSinema,@senatorsinema,x
Arizona 1st District,U.S. Representative,"O'Halleran, Tom",D,@TomOHalleran,@repohalleran,x
Arizona 2nd District,U.S. Representative,"Kirkpatrick, Ann",D,@RepKirkPatrick,@RepAnnKirkpatrick,x
Arizona 3rd District,U.S. Representative,"Grijalva, Raul",D,@RepRaulGrijalva,@repraulgrijalva,x
Arizona 4th District,U.S. Representative,"Gosar, Paul A.",R,@RepGosar,@repgosar,x
Arizona 5th District,U.S. Representative,"Biggs, Andy",R,@AndyBiggs4AZ,@repandybiggs,x
Arizona 6th District,U.S. Representative,"Schweikert, David",R,@RepDavid,@repdavid,x
Arizona 7th District,U.S. Representative,"Gallego, Ruben",D,@RepRubenGallego,@reprubengallego,x
Arizona 8th District,U.S. Representative,"Lesko, Debbie ",R,@RepDLesko,@replesko,x
Arizona 9th District,U.S. Representative,"Stanton, Greg",D,@RepGregStanton,@repgregstanton,x
Arkansas,U.S. Senator,"Cotton, Tom",R,@SenTomCotton,@tomcottonar,x
Arkansas,U.S. Senator,"Boozman, John",R,@JohnBoozman,@johnboozman,x
Arkansas 1st District,U.S. Representative,"Crawford, Rick",R,@RepRickCrawford,@reprickcrawford,x
Arkansas 2nd District,U.S. Representative,"Hill, French",R,@RepFrenchHill,@repfrenchhill,x
Arkansas 3rd District,U.S. Representative,"Womack, Steve",R,@rep_stevewomack,@rep_stevewomack,x
Arkansas 4th District,U.S. Representative,"Westerman, Bruce",R,@RepWesterman,@repwesterman,x
California,U.S. Senator,"Feinstein, Dianne",D,@SenFeinstein,,x
California,U.S. Senator,"Harris, Kamala",D,@KamalaHarris,@kamalaharris,x
California 1st District,U.S. Representative,"LaMalfa, Doug",R,@RepLaMalfa,@repdouglamalfa,x
California 2nd District,U.S. Representative,"Huffman, Jared",D,@RepHuffman,@rephuffman,x
California 3rd District,U.S. Representative,"Garamendi, John",D,@RepGaramendi,@repgaramendi,x
California 4th District,U.S. Representative,"McClintock, Tom",R,@RepMcClintock,,x
California 5th District,U.S. Representative,"Thompson, Mike",D,@RepThompson,@repmikethompson,x
California 6th District,U.S. Representative,"Matsui, Doris O.",D,@DorisMatsui,@repdorismatsui,x
California 7th District,U.S. Representative,"Bera, Ami",D,@RepBera,@repbera,x
California 8th District,U.S. Representative,"Cook, Paul",R,@RepPaulCook,@reppaulcook,x
California 9th District,U.S. Representative,"McNerney, Jerry",D,@RepMcNerney,,x
California 10th District,U.S. Representative,"Harder, Josh",D,@RepJoshHarder,@repjoshharder,x
California 11th District,U.S. Representative,"DeSaulnier, Mark",D,@RepDeSaulnier,@repdesaulnier,x
California 12th District,U.S. Representative,"Pelosi, Nancy",D,@SpeakerPelosi,@speakerpelosi,x
California 13th District,U.S. Representative,"Lee, Barbara",D,@RepBarbaraLee,@repbarbaralee,x
California 14th District,U.S. Representative,"Speier, Jackie",D,@RepSpeier,@jackiespeier,x
California 15th District,U.S. Representative,"Swalwell, Eric",D,@RepSwalwell,@repswalwell,x
California 16th District,U.S. Representative,"Costa, Jim",D,@RepJimCosta,@repjimcosta,x
California 17th District,U.S. Representative,"Khanna, Ro",D,@RoKhannaUSA,@reprokhanna,x
California 18th District,U.S. Representative,"Eshoo, Anna G.",D,@RepAnnaEshoo,@repannaeshoo,x
California 19th District,U.S. Representative,"Lofgren, Zoe",D,@RepZoeLofgren,,x
California 20th District,U.S. Representative,"Panetta, Jimmy",D,@JimmyPanetta,@repjimmypanetta,x
California 21st District,U.S. Representative,"Cox, TJ",D,@RepTJCox,@reptjcox,x
California 22nd District,U.S. Representative,"Nunes, Devin",R,@DevinNunes,@realdevinnunes,x
California 23rd District,U.S. Representative,"McCarthy, Kevin",R,@GOPLeader,@repkevinmccarthy,x
California 24th District,U.S. Representative,"Carbajal, Salud",D,@CarbajalSalud,@repcarbajal,x
California 25th District,U.S. Representative,"Garcia, Mike",R,@MikeGarcia2020,@mikegarcia2020,x
California 26th District,U.S. Representative,"Brownley, Julia",D,@RepBrownley,,x
California 27th District,U.S. Representative,"Chu, Judy",D,@RepJudyChu,@repjudychu,x
California 28th District,U.S. Representative,"Schiff, Adam",D,@RepAdamSchiff,@repadamschiff,x
California 29th District,U.S. Representative,"Cárdenas, Tony",D,@RepCardenas,@RepCardenas,x
California 30th District,U.S. Representative,"Sherman, Brad",D,@BradSherman,@congressmansherman,x
California 31st District,U.S. Representative,"Aguilar, Pete",D,@RepPeteAguilar,@rep.peteaguilar,x
California 32nd District,U.S. Representative,"Napolitano, Grace",D,@gracenapolitano,@repgracenapolitano,x
California 33rd District,U.S. Representative,"Lieu, Ted",D,@RepTedLieu,@reptedlieu,x
California 34th District,U.S. Representative,"Gomez, Jimmy",D,@RepJimmyGomez,@jimmygomezca,x
California 35th District,U.S. Representative,"Torres, Norma",D,@NormaJTorres,@repnormatorres,x
California 36th District,U.S. Representative,"Ruiz, Raul",D,@RepRaulRuizMD,@RepRaulRuizMD,x
California 37th District,U.S. Representative,"Bass, Karen",D,@RepKarenBass,@repkarenbass,x
California 38th District,U.S. Representative,"Sánchez, Linda",D,@RepLindaSanchez,@replindasanchez,x
California 39th District,U.S. Representative,"Cisneros, Gilbert Ray Jr.",D,@RepGilCisneros,@repgilcisneros,x
California 40th District,U.S. Representative,"Roybal-Allard, Lucille",D,@RepRoybalAllard,@reproybalallard,x
California 41st District,U.S. Representative,"Takano, Mark",D,@RepMarkTakano,@repmarktakano,x
California 42nd District,U.S. Representative,"Calvert, Ken",R,@KenCalvert,@repkencalvert,x
California 43rd District,U.S. Representative,"Waters, Maxine",D,@MaxineWaters,@repmaxinewaters,x
California 44th District,U.S. Representative,"Barragan, Nanette",D,@Nanette4CA,@repbarragan,x
California 45th District,U.S. Representative,"Porter, Katie",D,@RepKatiePorter,@repkatieporte,x
California 46th Division,U.S. Representative,"Correa, Lou",D,@RepLouCorrea,@reploucorrea,x
California 47th District,U.S. Representative,"Lowenthal, Alan",D,@RepLowenthal,@replowenthal,x
California 48th District,U.S. Representative,"Rouda, Harley",D,@RepHarley,@repharleyrouda,x
California 49th District,U.S. Representative,"Levin, Mike",D,@RepMikeLevin,@repmikelevin,x
California 50th District,U.S. Representative,Vacant,,,,x
California 51st District,U.S. Representative,"Vargas, Juan",D,@RepJuanVargas,@repjuanvargas,x
California 52nd District,U.S. Representative,"Peters, Scott",D,@RepScottPeters,@repscottpeters,x
California 53rd District,U.S. Representative,"Davis, Susan",D,@RepSusanDavis,@repsusandavis,x
Colorado,U.S. Senator,"Bennet, Michael",D,@MichaelBennet,@senatorbennet,x
Colorado,U.S. Senator,"Gardner, Cory",R,@SenCoryGardner,@sencorygardner,x
Colorado 1st District,U.S. Representative,"DeGette, Diana",D,@RepDianaDeGette,@repdianadegette,x
Colorado 2nd District,U.S. Representative,"Neguse, Joe",R,@RepJoeNeguse,@Rep. Joe Neguse,x
Colorado 3rd District,U.S. Representative,"Tipton, Scott",R,@RepTipton,@repscotttipton,x
Colorado 4th District,U.S. Representative,"Buck, Ken",R,@RepKenBuck,@repkenbuc,x
Colorado 5th District,U.S. Representative,"Lamborn, Doug",R,@RepDLamborn,@douglamborn,x
Colorado 6th District,U.S. Representative,"Crow, Jason",D,@RepJasonCrow,@repjasoncrow,x
Colorado 7th District,U.S. Representative,"Perlmutter, Ed",D,@RepPerlmutter,@ed4colorado,x
Connecticut,U.S. Senator,"Murphy, Chris",D,@ChrisMurphyCT,@chrismurphyct,x
Connecticut,U.S. Senator,"Blumenthal, Richard",D,@SenBlumenthal,@senblumenthal,x
Connecticut 1st District,U.S. Representative,"Larson, John B.",D,@RepJohnLarson,@repjohnblarson,x
Connecticut 2nd District,U.S. Representative,"Courtney, Joe",D,@RepJoeCourtney,@repjoecourtney,x
Connecticut 3rd District,U.S. Representative,"DeLauro, Rosa L.",D,@rosadelauro,@rosa_delauro,x
Connecticut 4th District,U.S. Representative,"Himes, Jim",D,@jahimes,@repjimhimes,x
Connecticut 5th District,U.S. Representative,"Hayes, Jahana",D,@RepJahanaHayes,@repjahanahayes,x
Delaware,U.S. Senator,"Coons, Chris",D,@SenCoonsOffice,@senatorchriscoon,x
Delaware,U.S. Senator,"Carper, Tom",D,@SenatorCarper,@senatorcarper,x
Delaware At-Large,U.S. Representative,"Blunt Rochester, Lisa",D,@LisaBRochester,@replbr,x
District of Columbia At-Large,U.S. Representative,"Norton, Eleanor Holmes",D,@EleanorNorton,@congresswomannorton,x
Florida,U.S. Senator,"Rubio, Marco",R,@marcorubio,@marcorubiofla,x
Florida,U.S. Senator,"Scott, Rick",R,@ScottforFlorida,@scottforflorida,x
Florida 1st District,U.S. Representative,"Gaetz, Matt",R,@MattGaetz,@repmattgaetz,x
Florida 2nd District,U.S. Representative,"Dunn, Neal",R,@DrNealDunnFL2,@nealdunnforcongress,x
Florida 3rd District,U.S. Representative,"Yoho, Ted",R,@RepTedYoho,@reptedyoho,x
Florida 4th District,U.S. Representative,"Rutherford, John",R,@JRutherfordFL,@reprutherfordfl,x
Florida 5th District,U.S. Representative,"Lawson, Al",D,@AlLawsonJr,@allawsonjr,x
Florida 6th District,U.S. Representative,"Waltz, Michael",R,@RepMichaelWaltz,@repmichaelwaltz,x
Florida 7th District,U.S. Representative,"Murphy, Stephanie",D,@SMurphyCongress,@repstephmurphy,x
Florida 8th District,U.S. Representative,"Posey, Bill",R,@congbillposey,,x
